vote age men economic.cond.national economic.cond.household Blair Hague Kennedy Europe political.knowledge
1070    Conservative          71  1   3   3   4   4   2   11  2
1071    Labour                53  1   3   3   4   1   5   11  2
1072    Conservative          84  0   3   3   2   5   1   11  2
1073    Labour                59  1   3   3   5   2   4    6  2
1074    "Liberal Democrat"    69  0   4   4   4   5   4   11  2
1075    "Liberal Democrat"    68  1   2   3   1   4   4   11  0
1076    Labour                89  1   5   5   5   2   1    1  2
1077    Conservative          72  1   3   3   4   4   2    8  3
1078    Labour                83  0   4   3   4   3   4    8  0
1079    Labour                64  1   4   3   2   1   5    4  2
1080    Labour                47  0   3   4   4   2   2    2  2
1081    Labour                61  1   4   4   5   1   4    1  2
1082    Labour                43  1   4   4   2   3   3    5  0
1083    "Liberal Democrat"    42  0   3   3   4   1   5    6  2
1084    Labour                40  1   3   4   4   1   4    3  3
1085    Conservative          68  1   3   1   4   5   2    9  0
1086    Labour                24  0   4   1   2   2   3    7  0
1087    "Liberal Democrat"    53  0   3   2   4   4   5    6  0
1088    Conservative          36  0   3   3   2   4   4   10  2
1089    Labour                76  0   4   4   5   2   2    1  0
1090    Conservative          67  1   3   3   2   5   3    9  0
1091    "Liberal Democrat"    58  1   2   2   4   2   4    4  3
1092    Labour                70  1   3   3   1   5   5    3  2
1093    Conservative          35  1   3   3   4   4   3   10  2
1094    Labour                47  0   4   3   5   1   4    2  3
1095    Conservative          42  1   4   3   4   4   3    5  0
1096    Labour                40  0   4   4   4   2   2    2  2
1097    "Liberal Democrat"    34  0   4   5   4   4   4    7  2
1098    Labour                54  0   3   3   4   2   2    1  2
1099    Conservative          39  0   3   2   4   4   2    9  2
1100    Labour                60  1   3   3   4   1   3    6  0
1101    "Liberal Democrat"    74  0   4   3   5   4   3   11  0
1102    Conservative          62  1   3   3   2   5   3    8  0
1103    Conservative          59  0   2   3   4   2   2    6  3
1104    Labour                47  0   4   4   4   1   4    4  2
1105    "Liberal Democrat"    49  1   4   3   4   2   4    8  2
1106    Conservative          49  1   2   3   2   3   2   11  0
1107    Labour                86  0   3   4   4   2   2    4  2
1108    Conservative          67  0   4   4   4   4   4   11  2
1109    Conservative          54  0   4   2   1   4   4   11  2
1110    Conservative          85  0   2   3   2   2   4    8  2
1111    "Liberal Democrat"    49  1   3   1   4   4   3    4  0
1112    Conservative          55  0   3   3   4   4   3    3  0
1113    "Liberal Democrat"    74  1   4   3   4   1   4    2  3
1114    Conservative          70  1   2   2   1   2   2   11  2
1115    Conservative          46  1   2   2   2   1   4    8  2
1116    "Liberal Democrat"    29  0   4   5   4   4   2    8  0
1117    "Liberal Democrat"    65  0   4   4   2   1   4    3  3
1118    "Liberal Democrat"    49  0   3   2   4   2   4    2  2
1119    Conservative          29  0   2   4   4   4   2    9  2
1120    Conservative          37  0   3   3   4   4   2   10  2
1121    Labour                45  1   4   4   4   2   5    9  3
1122    Conservative          61  1   2   3   2   2   1    5  3
1123    Labour                34  1   3   3   2   2   2    9  2
1124    Labour                61  0   4   3   4   4   4    1  2
1125    "Liberal Democrat"    38  0   3   2   1   5   3    5  0
1126    Labour                37  1   3   3   4   2   4    6  2
1127    Labour                28  0   4   4   4   2   4   10  0
1128    Labour                61  0   3   3   4   2   3    6  0
1129    "Liberal Democrat"    53  0   4   3   4   2   4   10  0
1130    Labour                73  1   4   4   5   2   3    6  2
1131    Labour                74  1   4   4   4   4   1    7  0
1132    Labour                36  0   3   3   1   5   4    7  3
1133    Labour                67  1   4   2   4   1   2    1  2
1134    Conservative          55  0   4   3   4   5   2   11  2
1135    Conservative          45  1   2   2   1   5   4    9  2
1136    Labour                38  0   4   4   4   4   5    3  0
1137    Conservative          52  0   3   3   2   4   4   11  3
1138    Labour                70  1   3   3   4   2   2    4  2
1139    "Liberal Democrat"    68  1   4   4   2   2   2    4  3
1140    Labour                50  1   4   3   4   1   4    3  3
1141    Labour                34  1   2   4   5   1   4    3  3
1142    Labour                43  0   2   3   2   3   3   11  2
1143    Conservative          93  0   4   4   5   5   2    6  2
1144    Labour                82  0   3   5   5   2   3   11  0
1145    Conservative          24  1   3   4   2   4   2   11  0
1146    Labour                65  0   3   3   2   1   4    1  0
1147    Labour                41  1   4   3   4   2   2    6  2
1148    Labour                83  0   3   3   5   1   2    6  0
1149    Labour                47  0   4   4   4   2   4    5  2
1150    Labour                46  0   2   1   4   4   3    9  0
1151    Labour                30  1   5   4   4   2   1    6  2
1152    Labour                36  1   3   3   4   1   4    6  3
1153    Conservative          44  1   2   2   2   2   5    7  2
1154    Labour                57  0   2   3   4   2   3    6  2
1155    Conservative          53  0   3   4   2   2   2    6  0
1156    "Liberal Democrat"    64  0   3   3   4   2   4    6  0
1157    Conservative          56  0   3   3   1   4   4    9  2
1158    "Liberal Democrat"    49  0   2   3   2   4   4    6  2
1159    Labour                87  0   5   3   5   4   3    4  0
1160    "Liberal Democrat"    46  0   3   3   1   2   5   11  0
1161    Labour                50  1   4   3   4   2   2    4  2
1162    Labour                51  1   4   3   5   2   4    1  3
1163    Labour                33  0   4   5   5   4   4    2  2
1164    Conservative          77  1   2   3   2   4   1   11  2
1165    Labour                48  0   4   3   4   2   4    6  3
1166    Conservative          67  0   3   4   4   4   3   11  2
1167    "Liberal Democrat"    27  1   3   4   4   4   4    2  3
1168    Conservative          24  0   4   4   2   1   3    4  2
1169    Labour                26  1   2   4   5   2   4    4  3
1170    "Liberal Democrat"    46  0   4   3   4   2   4    5  2
1171    "Liberal Democrat"    25  0   4   4   1   1   4    3  3
1172    Labour                37  1   4   3   4   1   4    4  0
1173    Conservative          24  1   4   5   4   4   2    6  0
1174    Labour                32  0   4   4   2   2   2   11  0
1175    Labour                54  1   3   3   1   2   2   11  0
1176    Conservative          63  0   4   2   2   4   4   10  2
1177    Conservative          59  0   4   3   2   4   2    8  2
1178    Conservative          55  0   5   3   2   2   2    7  0
1179    Conservative          36  1   3   4   4   4   4   10  3
1180    "Liberal Democrat"    74  0   4   4   4   2   4    9  0
1181    Labour                47  0   3   4   4   2   3    6  0
1182    Labour                31  1   4   4   4   2   3   11  0
1183    "Liberal Democrat"    71  0   1   2   2   3   3    9  0
1184    Conservative          80  0   2   2   4   2   3   11  2
1185    Conservative          61  0   3   3   4   2   1    6  0
1186    Labour                42  0   3   3   4   4   3   10  2
1187    Labour                39  0   4   4   4   1   2   11  0
1188    "Liberal Democrat"    54  0   3   4   4   4   2    7  0
1189    Labour                75  1   5   4   5   2   4    1  2
1190    Labour                58  1   4   2   2   4   4   11  0
1191    Labour                58  1   4   4   5   4   4    7  2
1192    Labour                75  0   4   5   4   2   4    4  0
1193    Labour                50  0   4   4   4   2   4    2  2
1194    Conservative          38  0   4   2   1   4   3    9  2
1195    Labour                34  1   3   3   2   4   5    9  2
1196    Labour                39  1   3   4   4   2   2    6  3
1197    Labour                46  0   3   4   5   2   1    3  2
1198    "Liberal Democrat"    33  0   2   2   4   2   4    5  3
1199    Conservative          71  0   4   2   2   4   3   11  2
1200    Labour                49  1   4   3   4   2   2    4  2
1201    Labour                63  1   5   2   5   2   4    1  2
1202    Labour                57  0   4   4   4   3   3   11  1
1203    Conservative          64  0   4   5   4   4   3   11  2
1204    Labour                47  0   3   5   4   1   4    3  0
1205    Conservative          63  1   3   3   2   4   2    9  2
1206    Labour                52  1   4   4   4   2   4    1  2
1207    Conservative          44  0   2   2   2   4   2    9  0
1208    "Liberal Democrat"    64  0   3   3   4   2   3    4  2
1209    Labour                45  0   4   4   4   2   4    6  0
1210    Labour                36  0   3   3   2   2   4    6  2
1211    Labour                47  0   4   5   4   2   4    2  3
1212    Labour                37  1   5   5   5   2   1    4  0
1213    Labour                57  1   3   3   4   2   5    3  0
1214    Labour                54  1   3   2   4   2   2    7  2
1215    Conservative          80  0   2   4   2   2   4   11  0
1216    Labour                65  0   5   3   4   2   4    7  2
1217    "Liberal Democrat"    56  1   3   3   2   4   4   11  2
1218    "Liberal Democrat"    55  1   4   3   2   2   4    5  3
1219    Conservative          66  1   4   4   4   4   4    9  0
1220    Labour                71  1   3   3   4   2   2    2  2
1221    "Liberal Democrat"    32  0   4   2   2   2   4    6  0
1222    Conservative          72  1   2   2   1   4   1   11  2
1223    Conservative          76  1   3   2   4   5   3   11  2
1224    Conservative          71  1   1   1   2   4   4    9  0
1225    "Liberal Democrat"    45  0   4   3   5   4   4    1  3
1226    "Liberal Democrat"    65  0   3   3   4   2   4    3  0
1227    Conservative          39  0   3   1   1   2   2    8  2
1228    Labour                55  0   4   3   4   2   5    5  0
1229    "Liberal Democrat"    62  1   3   3   2   2   2    8  2
1230    Labour                70  1   3   3   2   2   2    5  3
1231    "Liberal Democrat"    39  0   3   5   4   1   4    1  2
1232    Labour                50  1   4   2   4   2   4    5  2
1233    Labour                40  1   5   5   5   1   1    3  3
1234    Labour                41  0   4   4   4   2   2    4  2
1235    "Liberal Democrat"    40  1   2   2   4   4   5   11  3
1236    Labour                71  0   3   4   5   4   4    1  2
1237    "Liberal Democrat"    36  0   3   3   2   2   4    6  2
1238    Labour                70  0   4   3   5   2   2    1  0
1239    Labour                42  0   4   4   4   2   2    3  0
1240    Conservative          69  0   4   3   4   4   1    8  2
1241    "Liberal Democrat"    60  0   5   3   2   2   2    5  2
1242    Labour                65  0   4   3   2   4   4   10  0
1243    Labour                52  0   4   4   4   2   4    5  0
1244    Labour                41  1   1   4   5   1   5   11  0
1245    Labour                29  0   4   4   4   2   1    2  2
1246    "Liberal Democrat"    45  0   3   4   4   2   5   10  0
1247    Conservative          48  0   3   2   4   4   4   11  3
1248    "Liberal Democrat"    55  0   2   4   4   2   4    3  2
1249    Conservative          75  0   4   3   4   5   2    7  3
1250    "Liberal Democrat"    80  0   4   2   2   3   4   11  0
1251    "Liberal Democrat"    51  0   3   4   1   1   1    3  2
1252    Labour                56  0   3   3   4   2   4    6  2
1253    Labour                43  1   4   4   4   2   4   11  2
1254    Labour                39  0   3   4   4   2   3    3  2
1255    Conservative          59  1   4   3   2   4   1   11  0
1256    Labour                34  0   4   4   2   2   4   11  2
1257    "Liberal Democrat"    27  0   3   3   4   2   4    4  2
1258    "Liberal Democrat"    50  1   3   2   4   4   1   11  2
1259    Labour                47  1   4   4   4   2   4    1  2
1260    Conservative          69  0   2   2   2   5   2   11  2
1261    "Liberal Democrat"    77  0   4   4   2   2   2    1  2
1262    Labour                74  1   4   4   2   4   4   11  2
1263    Conservative          71  0   4   3   2   4   4   11  2
1264    Conservative          63  0   4   4   4   4   3    3  2
1265    Labour                49  1   4   4   4   2   2    3  2
1266    Conservative          46  1   3   4   2   2   3   11  0
1267    Conservative          43  0   3   2   1   4   4   11  3
1268    Conservative          70  1   3   2   4   4   2   10  3
1269    Labour                67  0   3   3   4   2   4    3  0
1270    Labour                80  0   4   4   4   2   2   10  1
1271    Conservative          54  1   2   2   2   5   2   11  2
1272    "Liberal Democrat"    58  1   4   4   4   4   5   11  0
1273    Labour                54  0   3   3   4   2   2    3  2
1274    Labour                27  0   3   4   4   4   4    9  0
1275    Labour                40  1   4   3   4   4   2    6  0
1276    Labour                49  0   4   4   4   2   4    3  2
1277    Labour                26  0   5   3   5   1   4    4  2
1278    "Liberal Democrat"    51  0   2   2   4   4   3    8  0
1279    "Liberal Democrat"    53  1   4   4   2   1   4   10  0
1280    Labour                46  1   3   3   4   2   2    5  2
1281    Labour                42  0   3   1   4   2   2    4  2
1282    "Liberal Democrat"    35  1   4   2   4   2   4    3  2
1283    Conservative          69  0   2   3   1   4   1   11  2
1284    Labour                63  1   4   2   4   2   4    4  3
1285    Labour                76  1   3   4   5   2   4    9  2
1286    Labour                44  1   4   4   4   2   4    5  2
1287    Conservative          66  1   2   2   2   4   3   11  3
1288    Labour                85  1   2   3   4   2   4   11  3
1289    Conservative          32  1   4   2   2   4   2    5  3
1290    Labour                74  0   3   4   4   1   2   11  1
1291    Conservative          28  1   3   4   4   4   2    8  2
1292    Labour                91  1   4   3   4   4   3    2  3
1293    Labour                60  1   5   2   5   2   2    1  2
1294    Conservative          59  0   3   3   2   2   2    7  2
1295    Labour                31  1   4   4   4   2   4    4  2
1296    Labour                81  0   3   4   4   4   3    4  0
1297    Labour                56  1   4   3   4   2   4    6  0
1298    "Liberal Democrat"    28  1   2   4   4   4   2    7  0
1299    Labour                69  0   3   3   4   2   3   11  2
1300    "Liberal Democrat"    37  0   4   1   4   2   5   11  0
1301    Labour                24  0   3   3   4   4   4    4  0
1302    Labour                38  0   3   3   1   2   5    6  2
1303    Labour                46  1   4   4   4   2   4    3  3
1304    Labour                25  1   4   4   5   1   4    4  3
1305    Labour                49  1   3   3   5   4   4   10  0
1306    Labour                35  1   3   3   4   1   4    1  2
1307    Labour                56  1   3   3   4   4   2    3  0
1308    Labour                62  0   4   2   4   2   2    5  2
1309    "Liberal Democrat"    57  1   4   1   2   2   4    3  2
1310    Labour                48  0   3   4   4   1   2    6  0
1311    Labour                80  0   4   4   4   2   2    5  2
1312    "Liberal Democrat"    61  0   3   3   2   2   4    6  0
1313    Conservative          52  1   3   3   2   4   2   10  3
1314    Labour                32  1   3   3   2   4   3    6  2
1315    "Liberal Democrat"    70  0   2   2   2   4   4   11  0
1316    Labour                35  1   4   3   5   4   4    5  0
1317    Labour                33  0   5   5   5   4   4   11  0
1318    Labour                32  1   3   4   4   4   2    9  0
1319    Labour                62  0   3   3   4   1   5   11  0
1320    Conservative          30  0   3   4   2   5   2   11  2
1321    Labour                60  0   3   4   2   2   4    9  2
1322    "Liberal Democrat"    49  1   3   2   4   4   4    9  2
1323    Labour                69  0   4   2   4   2   4   11  0
1324    "Liberal Democrat"    67  1   4   3   1   4   5   11  0
1325    Labour                39  1   4   3   4   2   2    8  0
1326    Conservative          40  1   3   2   2   4   2   11  0
1327    Labour                74  1   4   4   4   2   2    1  2
1328    Labour                37  0   5   5   5   2   2   11  2
1329    Labour                35  0   4   3   4   4   2    7  0
1330    Labour                33  1   5   4   4   4   3    8  0
1331    Conservative          54  1   3   2   2   5   2    9  3
1332    "Liberal Democrat"    65  1   4   3   4   4   5    9  0
1333    "Liberal Democrat"    49  1   3   4   2   4   4    7  2
1334    Labour                72  0   3   3   4   2   2   11  0
1335    Conservative          38  1   3   1   2   4   2    7  2
1336    "Liberal Democrat"    67  0   4   2   2   2   4   10  1
1337    Labour                47  1   3   3   5   2   4    1  2
1338    "Liberal Democrat"    58  0   2   2   2   2   4    1  3
1339    "Liberal Democrat"    31  1   3   5   4   2   4    3  3
1340    Labour                34  0   4   5   4   1   3    6  0
1341    Labour                42  0   3   3   2   2   3   11  0
1342    Labour                67  1   3   3   4   2   4    6  2
1343    "Liberal Democrat"    26  0   3   3   2   4   3    6  2
1344    Labour                73  1   2   3   4   4   4    2  2
1345    "Liberal Democrat"    46  0   2   4   4   4   1    6  2
1346    Labour                69  0   3   3   2   4   5   11  2
1347    Conservative          56  0   4   3   2   2   4    4  0
1348    Conservative          66  1   3   5   1   5   4    8  3
1349    Labour                54  1   4   4   4   2   4    1  1
1350    Conservative          72  0   3   2   2   4   3    7  2
1351    Labour                53  1   3   3   4   2   4    6  3
1352    Labour                37  0   4   5   4   2   4    6  2
1353    Conservative          47  0   4   3   4   5   2    8  0
1354    "Liberal Democrat"    53  0   4   1   4   2   2    3  3
1355    Conservative          69  0   3   3   4   4   4    9  2
1356    "Liberal Democrat"    47  1   2   2   2   1   2    6  3
1357    "Liberal Democrat"    46  0   4   2   2   1   4    5  2
1358    "Liberal Democrat"    50  0   4   3   4   1   4    3  2
1359    Conservative          65  0   4   4   1   4   1   11  2
1360    Conservative          73  0   3   2   4   4   4    4  0
1361    "Liberal Democrat"    47  1   3   2   4   2   4    3  3
1362    Labour                30  1   3   4   4   4   2   11  0
1363    Labour                50  0   3   3   4   4   2    6  0
1364    Labour                53  0   5   5   4   4   3    2  2
1365    Conservative          27  1   3   5   4   4   4    8  2
1366    Conservative          65  0   3   3   4   5   3   11  2
1367    Labour                39  0   4   4   4   4   2    7  0
1368    Labour                69  1   3   3   4   2   2   11  2
1369    Conservative          73  1   4   3   2   4   4    9  2
1370    Labour                31  1   3   4   4   4   4    9  3
1371    Conservative          62  0   2   2   2   4   2    6  2
1372    "Liberal Democrat"    46  1   4   4   4   4   1    1  2
1373    Labour                74  1   4   4   4   2   4    2  2
1374    Conservative          50  0   3   2   2   2   3   11  0
1375    Labour                51  1   4   4   4   2   4    6  3
1376    Labour                50  0   4   3   4   1   3   11  0
1377    Conservative          42  1   3   2   2   4   2   10  2
1378    Labour                66  1   4   3   4   2   2    6  2
1379    Labour                44  0   4   4   4   2   3   11  2
1380    Conservative          62  1   3   3   2   4   2   11  2
1381    Labour                72  0   4   4   4   2   3    6  0
1382    Labour                71  1   4   4   2   4   4    6  0
1383    Labour                75  1   5   5   5   2   4    1  2
1384    Labour                35  0   5   4   2   2   3    4  0
1385    "Liberal Democrat"    61  1   3   3   4   2   3   10  0
1386    Labour                38  1   2   4   4   4   4   11  0
1387    Labour                50  0   3   3   5   2   4    9  2
1388    Conservative          53  0   3   2   2   1   4    4  0
1389    Labour                84  0   4   5   5   2   4   11  0
1390    Labour                57  0   4   4   2   2   4    6  0
1391    Labour                69  1   3   3   4   2   4   10  3
1392    Conservative          52  0   2   2   2   4   1   11  2
1393    Labour                33  1   3   2   2   2   4    5  3
1394    Conservative          72  1   2   2   2   5   2   11  2
1395    Conservative          54  0   3   3   4   4   2   11  0
1396    Labour                57  1   3   3   4   1   4    6  3
1397    Labour                77  1   4   3   4   2   4    3  2
1398    Conservative          58  1   2   1   2   4   4    4  0
1399    Conservative          63  0   3   4   2   2   2   11  3
1400    Conservative          49  1   3   1   2   5   4    9  3
1401    Conservative          64  0   3   2   2   4   3   10  2
1402    "Liberal Democrat"    55  0   3   3   4   2   2    3  3
1403    Conservative          37  1   3   5   1   5   1   10  3
1404    Conservative          48  0   3   3   2   4   1    2  2
1405    "Liberal Democrat"    48  1   3   3   2   4   4    5  3
1406    Labour                60  1   4   3   5   1   4    6  3
1407    Labour                59  1   3   2   1   2   4    1  2
1408    Conservative          67  0   4   3   4   2   3   11  0
1409    Conservative          52  0   3   3   2   4   4    5  2
1410    Labour                68  1   4   4   4   2   3   11  0
1411    Labour                71  1   3   4   4   1   4   11  2
1412    "Liberal Democrat"    54  0   3   3   2   1   4   11  0
1413    Conservative          73  1   3   2   4   1   3    6  0
1414    Labour                56  0   4   5   2   2   4    9  0
1415    Labour                54  0   3   4   4   2   2    3  2
1416    Conservative          63  1   2   3   4   4   2    6  2
1417    Conservative          66  1   3   2   2   4   4    6  2
1418    Labour                40  0   4   4   4   2   4    1  2
1419    Labour                54  0   4   3   2   4   4    6  0
1420    Labour                39  0   5   4   5   2   2    2  2
1421    Labour                74  0   4   4   5   2   5    1  2
1422    Conservative          61  1   3   2   2   4   3    2  0
1423    Labour                45  0   4   4   4   1   4    8  2
1424    Labour                72  1   4   4   5   1   4    1  2
1425    Labour                46  1   3   3   2   1   2    4  3
1426    "Liberal Democrat"    84  1   4   4   2   1   4    7  0
1427    Labour                60  0   4   4   4   2   2    9  0
1428    Labour                49  0   5   5   4   1   4    1  2
1429    Labour                59  1   3   3   5   4   4    5  2
1430    Labour                53  1   3   4   4   2   3   10  0
1431    Labour                78  0   3   3   5   2   3    3  0
1432    Labour                42  0   3   4   4   4   4    3  2
1433    Labour                79  1   4   4   5   2   5    3  0
1434    "Liberal Democrat"    59  1   4   3   4   1   4    8  1
1435    Labour                66  1   4   4   5   4   2   11  0
1436    Labour                54  1   5   3   4   2   4    8  2
1437    Labour                62  1   4   1   1   1   3    1  0
1438    Conservative          34  1   2   2   2   2   2    7  2
1439    Labour                40  1   4   3   4   2   2    2  2
1440    Labour                87  1   4   4   4   1   3   10  2
1441    "Liberal Democrat"    34  0   3   3   2   2   4    8  2
1442    Labour                48  1   3   3   5   2   3    6  2
1443    Conservative          68  0   2   3   2   4   4   10  2
1444    Labour                36  0   4   5   4   2   4    6  2
1445    Labour                69  0   4   4   4   2   4   11  0
1446    Labour                71  1   4   3   4   2   2   11  0
1447    "Liberal Democrat"    75  0   4   4   4   2   4    4  2
1448    "Liberal Democrat"    69  1   3   3   2   5   2   11  2
1449    Labour                55  0   4   3   4   4   3    3  0
1450    "Liberal Democrat"    47  0   4   4   4   2   4    5  0
1451    Labour                43  0   4   4   4   2   3    5  0
1452    Labour                73  1   4   3   4   2   2    1  3
1453    Conservative          68  1   3   4   4   4   4   11  2
1454    Labour                62  0   3   3   2   2   4   11  2
1455    Conservative          42  1   2   2   4   5   4    9  2
1456    Labour                86  1   2   4   2   3   3   11  1
1457    Labour                44  1   4   3   4   1   4    4  2
1458    Conservative          59  0   3   3   2   1   4   11  0
1459    Labour                56  0   3   3   2   1   4    1  2
1460    Labour                72  0   3   5   5   2   3    1  0
1461    Labour                43  1   4   3   4   4   2    8  1
1462    Labour                44  1   3   4   5   1   2    6  3
1463    Labour                76  0   5   3   4   1   3   11  0
1464    Labour                57  1   3   1   4   4   4    3  2
1465    Labour                44  1   3   3   4   2   2    7  2
1466    Labour                46  1   4   4   4   2   2   11  0
1467    Labour                36  0   2   2   5   2   4   11  0
1468    "Liberal Democrat"    58  0   3   2   4   2   2    6  2
1469    Labour                41  1   3   4   4   2   4    6  2
1470    Conservative          70  1   1   1   2   5   2   11  2
1471    Labour                46  1   4   3   4   1   4    1  2
1472    Labour                65  1   3   3   4   1   4    2  2
1473    Labour                79  1   5   5   2   1   3    3  3
1474    Labour                54  0   3   3   4   1   2    5  0
1475    Labour                56  1   4   3   2   4   4    8  0
1476    Labour                36  1   4   3   4   2   4    4  2
1477    Labour                56  1   2   2   4   2   1    7  2
1478    Labour                50  1   4   2   2   1   4    3  2
1479    "Liberal Democrat"    42  0   3   3   4   2   4    4  2
1480    Labour                79  1   4   4   5   1   3    3  3
1481    "Liberal Democrat"    55  0   2   1   4   4   2    7  2
1482    Conservative          50  0   3   2   2   4   4    9  2
1483    Labour                56  0   2   3   4   4   2    5  2
1484    Conservative          65  0   3   2   4   5   2    9  2
1485    "Liberal Democrat"    48  1   4   2   2   4   4    3  3
1486    Conservative          41  0   2   2   2   4   4   11  0
1487    Labour                79  1   3   3   5   4   4    1  2
1488    Labour                49  1   4   4   4   2   4    3  3
1489    Labour                77  1   5   4   5   4   4    2  2
1490    Conservative          60  0   4   3   2   4   1   10  0
1491    Conservative          54  0   3   3   2   4   4    1  1
1492    Labour                64  1   3   3   4   1   3   11  0
1493    Conservative          50  0   2   3   2   4   4    6  2
1494    "Liberal Democrat"    34  0   3   1   4   2   3    6  2
1495    Conservative          78  0   3   3   2   2   1    6  2
1496    "Liberal Democrat"    46  1   3   2   1   4   4    9  2
1497    Labour                41  0   4   5   5   4   4    5  2
1498    Labour                65  0   4   3   4   2   2    6  2
1499    Labour                65  0   3   3   2   2   3    1  3
1500    Conservative          79  0   2   2   2   4   4   11  0
1501    Labour                67  0   2   3   4   2   3    4  0
1502    Conservative          44  0   3   1   4   2   5    9  3
1503    Labour                31  0   4   3   4   4   5    5  3
1504    Conservative          54  0   5   2   4   2   4    6  2
1505    "Liberal Democrat"    63  1   3   2   4   1   2    3  3
1506    "Liberal Democrat"    75  1   3   2   4   4   4    6  2
1507    Labour                62  1   3   3   4   1   1    6  2
1508    Conservative          52  0   2   1   1   4   4    8  2
1509    Conservative          70  1   2   2   4   2   4   11  2
1510    Labour                67  0   3   3   5   2   3    4  2
1511    Labour                73  1   4   3   4   2   1   11  0
1512    Labour                63  0   3   3   4   2   2    8  2
1513    Conservative          75  1   3   3   2   4   4    7  1
1514    Labour                46  1   3   3   4   2   2    4  2
1515    Labour                74  0   3   3   5   2   4   11  0
1516    Conservative          82  0   2   2   2   1   4   11  2
1517    Labour                30  1   3   4   4   2   2    4  2
1518    Labour                76  1   4   3   2   2   3   11  2
1519    Labour                50  1   3   4   4   2   3    5  2
1520    Conservative          35  1   3   4   4   2   4    8  2
1521    Conservative          67  1   5   3   2   4   4   11  3
1522    Conservative          73  1   2   2   4   4   4    8  2
1523    Labour                37  1   3   3   5   4   4    2  2
1524    Conservative          61  1   3   3   1   4   1   11  2
1525    Conservative          74  0   2   3   2   4   4   11  0
