age	nonint	mwork	meduc	income	nsibs	fundprot	tradrole
2987	20.75	no	yes	15	7354	1	no	SD
2990	16.583333333	no	no	9	11000	2	no	D
2991	16.25	no	yes	16	25000	1	no	SD
2993	16.333333333	no	yes	12	3250	6	no	D
2995	18.583333333	no	yes	8	15000	3	no	D
3000	18	no	yes	12	10286	2	no	D
3001	15.25	no	yes	12	10286	2	no	D
3011	18.083333333	no	yes	18	7354	1	no	SD
3012	22	no	yes	12	10399	0	no	D
3013	15.083333333	yes	no	12	2662	1	no	D
3020	16.083333333	no	yes	12	14000	5	no	SD
3021	20.75	no	no	12	9333	5	no	A
3023	17.583333333	no	yes	12	13416	3	no	SD
3025	19.916666667	no	yes	16	15119	4	no	D
3034	21	no	no	11	11180	4	no	SD
3035	15.333333333	no	no	11	11180	4	no	A
3036	21.416666667	no	no	12	11896	0	no	SD
3038	19.833333333	no	yes	11	8693	4	no	A
3040	16.583333333	no	yes	11	8693	4	no	SD
3041	20.333333333	no	yes	12	2924	1	no	SD
3042	17.5	no	no	12	6577	3	yes	A
3043	14.75	no	yes	11	11180	3	yes	D
3045	17.75	no	no	12	3900	9	no	SA
3047	18.916666667	yes	yes	9	3256	3	yes	A
3048	16.5	yes	no	12	2236	6	no	D
3049	14.333333333	yes	no	12	2236	6	no	SD
3051	16.25	no	no	12	4464	5	no	D
3053	21.416666667	no	no	10	6870	5	no	D
3054	19.333333333	yes	yes	10	12500	2	no	A
3057	20.333333333	no	no	12	2887	3	no	D
3058	18	no	no	11	10000	2	no	D
3061	21	no	no	13	6577	5	no	D
3079	20.083333333	no	no	11	4327	6	no	D
3080	17.416666667	no	no	11	4327	6	no	D
3081	15.416666667	no	no	11	4327	6	no	D
3085	16.666666667	no	no	12	15652	2	no	SD
3090	18.5	no	no	12	11500	2	no	D
3091	14.583333333	no	no	10	10000	1	no	D
3093	22	no	no	12	4500	1	no	D
3094	20.25	no	no	8	5000	1	no	A
3095	21.416666667	no	yes	12	6928	3	no	SA
3096	20.333333333	no	no	12	6577	3	no	SD
3098	18.75	yes	no	12	8491	5	no	SD
3099	15.916666667	yes	no	12	8491	5	no	D
3101	17	no	yes	12	6004	5	no	SD
3105	16	yes	yes	12	6004	3	no	SD
3106	15	yes	yes	12	6004	3	no	D
3107	14.666666667	no	no	12	4472	2	no	D
3108	18.416666667	no	no	12	6577	4	no	D
3109	17.5	no	no	12	8165	3	no	SD
3110	18.333333333	no	no	12	6004	3	no	SD
3111	18.25	no	no	12	16547	3	no	D
3112	16	no	no	12	16547	3	no	D
3113	19.25	yes	yes	10	8132	4	no	SD
3115	16.416666667	no	no	12	6577	2	no	SD
3117	19.083333333	no	yes	16	9304	3	no	SD
3118	15	no	yes	13	13856	6	no	SD
3119	19.75	no	yes	11	8944	4	no	SD
3120	16.916666667	no	yes	11	8944	4	no	SD
3121	18.833333333	yes	no	12	16000	4	no	A
3122	17	yes	no	12	16000	4	no	A
3129	16.166666667	no	no	12	15000	2	no	SD
3130	18.75	no	yes	16	6577	2	no	SD
3133	17.833333333	no	no	12	8491	1	no	SD
3134	20.166666667	no	no	12	8660	3	no	SD
3135	17.416666667	no	no	13	9449	4	no	D
3143	17.75	no	no	12	6000	3	no	SD
3145	17.25	no	no	14	10733	2	no	SD
3146	19.166666667	no	no	12	8944	2	no	SD
3148	17.916666667	no	no	11	7559	4	no	A
3150	21	no	no	12	11547	1	no	SD
3151	17	no	no	8	8944	3	no	D
3153	17.25	no	no	12	22086	4	no	A
3154	20.083333333	no	no	18	13416	2	no	SD
3155	15.166666667	no	no	16	13500	1	no	D
3156	17.416666667	no	yes	16	13500	1	no	SD
3157	14.666666667	no	yes	16	13500	1	no	SD
3162	15.25	yes	no	10	8491	0	no	SD
3163	20.75	no	no	9	11339	3	no	D
3164	19.75	no	no	10	11339	3	no	D
3165	16.083333333	no	yes	11	11339	3	no	SD
3167	19	no	yes	14	6577	3	no	D
3174	16	no	no	13	15000	1	no	SD
3179	21.416666667	no	no	16	9100	2	no	SD
3182	18.75	no	no	16	8491	1	no	D
3183	17	no	no	16	6004	3	no	SD
3184	14.666666667	no	no	16	6004	3	no	D
3185	16.916666667	yes	no	16	25456	4	no	SD
3197	18.083333333	yes	yes	12	13472	4	no	D
3198	22	yes	no	12	13472	4	no	D
3199	17.166666667	no	yes	10	12000	3	no	D
3201	15.916666667	no	no	10	6708	4	no	D
3204	14.833333333	no	yes	10	6577	4	no	A
3205	14.416666667	no	yes	16	12500	3	no	D
3206	15.416666667	no	no	12	6577	2	yes	D
3209	16.333333333	no	no	10	6004	3	no	SD
3212	19.5	no	yes	12	7840	3	no	SD
3217	17.166666667	no	no	12	14434	6	no	D
3218	19.583333333	no	no	12	8839	5	no	D
3221	14.333333333	no	no	12	8839	5	no	D
3222	19.083333333	no	no	12	9615	3	no	D
3223	15.833333333	no	no	12	8944	3	no	D
3225	16.416666667	no	yes	12	8165	3	no	SD
3227	18	yes	yes	11	8491	1	no	D
3231	15.25	no	yes	12	11431	12	yes	SD
3233	20.833333333	no	no	12	11227	4	yes	D
3234	19.833333333	no	no	12	11227	4	yes	D
3236	14.916666667	no	no	9	1732	0	no	D
3237	19.083333333	no	no	10	10607	3	no	D
3242	17.416666667	no	yes	12	7000	2	no	D
3243	20.916666667	no	yes	14	12500	1	no	SD
3244	15.25	no	yes	14	12500	1	no	A
3245	15.75	no	yes	12	6577	2	no	SD
3248	15.666666667	no	yes	12	6577	2	no	SD
3249	17.583333333	no	no	12	23000	1	no	SD
3250	17.666666667	no	yes	12	12250	1	no	D
3252	16.833333333	no	yes	12	3470	4	no	D
3253	15.416666667	no	yes	12	3470	4	no	D
3254	14.416666667	yes	yes	12	3470	4	no	SD
3262	15.75	no	yes	16	14434	0	no	D
3276	20.666666667	no	no	8	7354	2	no	D
3278	20.916666667	no	yes	12	2449	3	no	D
3280	15.5	no	no	12	2449	3	no	A
3287	15.75	no	yes	10	7217	5	no	D
3291	14.416666667	no	yes	12	12075	2	no	SD
3292	20.333333333	no	no	15	8491	4	no	SD
3293	21.333333333	no	yes	12	14531	6	no	D
3294	18.833333333	no	no	12	6577	2	no	SD
3295	16.5	no	no	12	6261	2	no	SD
3303	20.5	yes	no	14	11464	2	no	D
3320	16.25	no	no	9	4107	6	yes	D
3321	14.166666667	yes	no	9	4107	7	yes	A
3332	17.416666667	yes	no	9	6008	6	no	SA
3337	17.333333333	no	no	12	23094	3	no	D
3338	19.166666667	no	yes	12	8944	2	no	A
3339	17.5	no	yes	12	8944	2	no	SD
3341	17.333333333	no	no	11	9000	5	yes	SD
3342	19.333333333	no	no	11	8491	5	yes	D
3343	14.75	no	yes	10	7500	1	no	A
3345	18.666666667	no	no	12	9391	2	no	A
3347	21.583333333	no	yes	12	10667	6	no	SD
3348	19.166666667	no	yes	12	10667	6	no	D
3349	17.5	no	yes	12	10667	6	no	D
3350	15.666666667	no	yes	12	10667	6	no	D
3352	16.583333333	no	yes	12	11180	4	no	SD
3355	19.333333333	no	yes	11	7500	2	no	SD
3358	21.166666667	yes	yes	12	2500	5	no	D
3360	14.583333333	no	yes	12	11180	2	no	D
3362	21.166666667	no	yes	14	2887	1	no	D
3363	14.916666667	no	yes	11	6577	2	no	D
3364	19.166666667	no	no	12	6577	4	no	D
3365	14.833333333	no	no	12	6577	4	no	SD
3367	17.166666667	no	no	12	6577	4	no	D
3368	14.666666667	no	no	12	6577	4	no	SD
3369	19.583333333	no	no	12	24597	4	no	D
3370	14.416666667	no	no	12	8491	0	no	D
3373	19.083333333	no	no	14	8839	5	no	D
3377	16.583333333	no	yes	12	18898	7	no	SD
3378	20.25	no	yes	12	12500	2	no	D
3383	18.583333333	yes	yes	14	14434	1	no	SD
3384	16.416666667	yes	no	12	12060	9	no	SD
3386	14.666666667	yes	no	12	12649	9	no	D
3397	15.333333333	no	yes	12	10206	3	no	A
3402	16.666666667	no	yes	10	16500	1	yes	D
3406	15.416666667	no	yes	12	20207	2	no	A
3407	22	no	yes	12	19596	2	no	SD
3408	19.166666667	no	yes	12	13000	5	no	A
3409	16.583333333	no	yes	12	12000	5	no	D
3411	14.25	no	no	12	1155	3	no	SA
3412	19.333333333	no	yes	12	10399	4	no	SA
3413	20.916666667	no	no	12	19445	2	no	D
3416	17.166666667	no	yes	12	5303	7	no	D
3418	14.583333333	yes	yes	13	5303	7	no	SD
3419	21.916666667	yes	yes	14	11547	3	no	D
3421	17.5	no	yes	16	13229	4	no	SD
3422	16.083333333	no	no	16	13229	4	no	SD
3423	18.166666667	no	no	13	10206	4	no	D
3424	20.333333333	no	yes	13	1633	4	no	SD
3426	16.333333333	no	yes	16	6577	2	no	SD
3427	17.416666667	no	no	12	7354	3	no	D
3428	21.583333333	no	yes	16	18738	6	no	D
3429	21.583333333	no	no	16	4313	6	no	A
3430	18.916666667	no	yes	16	18738	6	no	A
3432	19	no	no	14	13416	2	no	D
3433	21.083333333	no	yes	14	26833	2	no	SD
3442	17	no	no	15	8944	2	no	SD
3444	19.5	no	no	10	5369	2	no	D
3445	19.333333333	yes	yes	12	8491	4	no	D
3446	21.75	no	no	12	5092	4	no	D
3448	18.083333333	yes	yes	12	4525	3	no	D
3451	14.5	no	no	14	17351	3	no	D
3452	15.5	no	no	12	12000	1	no	A
3454	20.166666667	no	yes	17	26386	6	no	A
3456	18.083333333	no	no	14	9449	4	no	A
3457	16.416666667	no	no	14	9449	4	no	D
3458	16.416666667	no	no	14	9449	4	no	A
3459	15.75	no	yes	12	8944	2	no	D
3465	15.583333333	no	yes	12	8165	3	no	D
3467	21.25	no	yes	12	17889	2	no	D
3469	14.5	no	no	12	8660	0	no	D
3475	17.833333333	no	no	14	2000	2	no	A
3476	15.833333333	no	no	14	9000	2	no	SD
3477	17.25	yes	yes	12	7603	2	no	SD
3480	20.583333333	no	yes	12	11547	5	no	D
3481	21.5	no	yes	12	10960	2	no	D
3485	16.166666667	yes	no	13	8662	5	no	D
3486	20.25	no	no	12	10583	6	no	A
3487	19	no	no	12	10583	6	no	D
3488	18.083333333	no	no	12	10583	6	no	SD
3491	16.75	no	yes	11	17321	2	yes	D
3496	18.75	no	yes	11	8315	4	no	SD
3498	19.25	no	yes	12	21362	1	no	SD
3501	21.666666667	yes	yes	9	12587	4	yes	SA
3504	21.916666667	no	no	10	10392	5	no	D
3505	19.333333333	no	yes	12	13880	3	no	D
3506	17.666666667	no	yes	14	13880	3	no	SD
3508	16.916666667	no	yes	12	11547	0	yes	D
3511	16.583333333	no	yes	8	11547	0	no	D
3512	14.666666667	no	no	10	7553	2	no	D
3514	16.416666667	no	no	12	27727	3	no	SD
3518	21.666666667	no	no	12	8648	6	no	D
3519	19.75	no	yes	12	10961	6	no	SA
3522	15.083333333	no	yes	11	8500	1	no	D
3523	15.833333333	no	yes	12	4902	6	no	SD
3524	17.333333333	no	yes	11	7071	1	no	SD
3527	18.166666667	no	yes	12	14741	6	no	A
3531	20.833333333	no	no	12	28868	2	no	D
3532	19.083333333	no	yes	12	8491	2	no	D
3537	20.916666667	yes	yes	12	14434	4	no	A
3549	16.833333333	no	yes	8	9815	6	no	D
3551	17.083333333	no	yes	10	5669	6	no	D
3552	14.583333333	no	yes	10	5669	6	no	SD
3554	15	no	yes	11	5367	8	no	D
3555	20.75	no	no	12	14707	8	no	D
3556	18.916666667	no	no	12	14707	3	no	D
3557	18	no	yes	12	8318	3	no	D
3558	16	no	yes	14	8318	3	no	D
3560	15.416666667	no	yes	9	5600	4	no	SD
3564	17.666666667	yes	no	10	7778	9	no	A
3565	21.833333333	no	no	12	9546	8	no	D
3566	20.833333333	no	no	12	13117	9	no	D
3568	16.583333333	no	no	12	8196	4	no	D
3572	14.333333333	yes	no	9	9208	4	no	A
3573	16.416666667	no	yes	11	12000	1	no	SD
3574	14.416666667	no	yes	11	12000	1	no	SD
3576	19	no	no	12	11339	4	no	SD
3584	19.333333333	no	no	12	10970	2	no	SD
3586	15.833333333	yes	no	12	3750	9	no	SD
3594	20	no	no	9	4015	8	no	D
3597	20	no	no	11	11023	10	no	D
3601	15.083333333	no	no	13	9615	3	no	SD
3603	19.166666667	no	yes	11	6577	3	no	D
3605	20.833333333	no	no	16	14707	4	no	SD
3606	18.083333333	no	no	12	10607	3	no	D
3609	18.583333333	no	no	14	13136	3	no	D
3610	20.666666667	no	yes	12	10510	4	no	D
3611	18.833333333	no	yes	12	10510	4	no	D
3613	21.583333333	no	no	12	8491	6	no	D
3614	19.833333333	no	yes	16	3075	1	no	SD
3618	18.666666667	no	no	11	15064	5	no	SD
3624	16.5	no	yes	8	10733	2	no	D
3625	14.916666667	no	yes	8	10733	2	no	D
3626	20.416666667	no	no	13	7354	2	no	SD
3629	16.916666667	no	no	12	22500	1	no	D
3630	14.75	no	yes	12	5307	3	no	SD
3631	16.25	no	no	9	7354	2	no	D
3633	15.75	no	yes	12	5559	6	no	D
3635	16.5	yes	no	12	7354	4	yes	D
3636	14.416666667	no	yes	12	8165	4	no	SD
3637	20.833333333	no	yes	16	8491	3	no	A
3641	18.916666667	no	yes	12	3400	2	yes	A
3643	14.666666667	no	yes	16	4919	2	no	SD
3647	15.75	no	no	10	12247	4	yes	SD
3648	18.166666667	no	yes	11	4157	2	yes	D
3649	15.583333333	no	yes	11	4157	2	no	D
3650	17.166666667	no	no	12	12124	2	no	SD
3651	18.833333333	no	no	10	6532	5	no	SD
3652	16.666666667	yes	no	10	6577	6	no	SD
3654	14.666666667	no	yes	12	8573	2	yes	D
3655	17.5	yes	yes	12	8573	7	yes	D
3659	17.333333333	no	no	8	2570	9	yes	SD
3661	17.5	no	yes	13	5196	2	no	D
3663	17.333333333	no	no	12	14434	1	yes	SD
3669	16.833333333	no	no	14	16738	3	no	D
3671	14.666666667	no	no	20	7354	1	no	SD
3674	17.583333333	no	no	16	22361	2	no	A
3677	15.833333333	no	no	12	40000	5	no	SD
3678	19.416666667	no	no	14	6577	3	yes	SD
3679	16.583333333	no	no	13	13416	3	yes	SD
3681	17.75	no	yes	16	7354	2	no	SD
3682	14.333333333	no	no	18	17889	4	no	SD
3683	20.25	no	no	18	5559	4	no	SD
3684	18.5	no	no	18	5559	5	no	D
3687	18.166666667	no	no	16	26833	7	no	SD
3688	15.166666667	no	no	16	6004	3	no	SD
3691	16.833333333	no	no	6	1667	7	yes	SA
3705	19.25	no	no	10	13864	4	no	D
3709	18.416666667	no	yes	16	12969	2	no	D
3711	18.166666667	no	yes	13	7354	4	no	SD
3714	19.5	no	yes	13	4821	4	no	SD
3715	20	no	no	12	8571	1	yes	A
3717	16.583333333	no	no	10	10206	4	no	SD
3718	15.416666667	no	no	10	10206	4	no	SA
3719	21.416666667	no	yes	12	3104	2	no	SD
3720	21.583333333	no	no	10	15040	5	no	D
3725	21	no	yes	12	17730	2	yes	D
3726	17.916666667	no	no	11	10399	4	no	SD
3727	16.416666667	no	no	12	22000	4	no	D
3728	19.666666667	no	no	12	9390	4	yes	D
3729	17.583333333	no	no	12	14707	4	yes	D
3730	21.333333333	no	no	13	15556	4	no	D
3734	16.583333333	no	no	12	10854	2	no	SD
3735	14.333333333	no	yes	12	13416	2	no	D
3736	19.666666667	no	yes	12	10500	5	no	D
3737	17.5	no	yes	12	10500	5	no	SD
3738	17.333333333	yes	no	12	12702	3	no	SD
3739	18.916666667	no	no	12	10733	3	no	A
3740	17.75	no	no	12	10733	3	no	SA
3741	16.333333333	no	no	12	10733	3	no	SA
3744	18.333333333	no	yes	12	6004	1	no	D
3746	18.25	yes	yes	12	6010	4	no	D
3749	19.833333333	yes	yes	12	3130	3	no	A
3752	22	no	no	12	5559	5	no	SD
3753	17.666666667	no	no	12	5559	5	no	A
3754	17.416666667	yes	no	9	3895	3	no	SD
3755	17.75	no	yes	12	9000	1	no	SD
3756	15.333333333	no	no	8	9390	3	no	A
3758	18.166666667	no	yes	12	11180	2	no	D
3759	17.166666667	no	yes	12	11180	2	no	D
3764	21	no	no	12	10399	3	no	SD
3767	17.75	yes	yes	6	2887	3	yes	D
3768	20.166666667	yes	no	12	2428	2	no	SD
3769	20.583333333	no	yes	12	2018	5	yes	SA
3770	17.75	no	yes	11	10410	3	yes	D
3771	14.583333333	no	yes	12	10410	3	no	SD
3772	17.333333333	no	yes	12	5774	2	no	SD
3773	21.916666667	no	yes	12	5000	5	no	SD
3774	19.25	no	no	12	3500	2	no	D
3775	18	no	yes	12	17000	2	no	D
3779	21.583333333	no	yes	12	8491	2	yes	SD
3781	18.916666667	no	yes	20	25000	2	no	D
3783	15.25	no	yes	11	8497	2	no	D
3784	18	no	no	8	3000	1	yes	SD
3785	17.583333333	no	no	12	11547	2	no	D
3786	20.333333333	no	no	10	6577	2	yes	D
3787	21.666666667	yes	yes	12	7200	0	no	SD
3790	19.25	no	no	7	4949	5	yes	SA
3791	21.333333333	no	yes	9	10928	3	no	A
3793	20.75	no	yes	12	16529	3	yes	D
3794	14.916666667	no	yes	12	15000	1	no	D
3796	17.5	yes	yes	14	2887	1	no	A
3797	15.25	yes	yes	12	2887	1	no	SD
3798	17.416666667	yes	yes	12	10399	3	no	D
3799	19.083333333	yes	yes	12	1680	3	no	SD
3800	16.25	yes	yes	12	9526	2	no	SD
3802	19.833333333	no	yes	14	8491	3	no	SD
3804	17.916666667	no	no	16	17889	2	no	A
3806	20.833333333	no	no	16	7354	2	no	D
3809	17.416666667	no	no	16	20000	1	no	D
3812	19.083333333	no	no	12	28868	2	no	D
3813	16.166666667	yes	yes	16	14142	3	no	SD
3814	18.916666667	yes	yes	16	832	3	no	D
3817	21.333333333	yes	yes	12	6500	1	no	SD
3832	16.5	no	yes	12	9390	3	yes	D
3834	15.5	no	yes	17	15000	1	no	D
3835	18.666666667	yes	yes	12	1297	3	no	SD
3836	17.25	yes	yes	12	6261	3	no	D
3837	15.916666667	yes	yes	12	6261	3	no	SD
3839	20	yes	no	11	4000	2	no	SD
3843	20.25	no	yes	15	5590	2	yes	SD
3846	14.75	yes	yes	12	10206	4	yes	SD
3849	17.25	no	no	12	20572	3	no	SD
3850	18.166666667	no	no	12	5367	2	no	SD
3851	17.083333333	no	no	12	5367	2	no	D
3855	15	yes	yes	14	8083	1	no	SD
3858	16.75	no	yes	12	13416	2	no	SD
3859	19.75	no	yes	12	6577	2	yes	A
3864	21.333333333	no	yes	12	7000	4	no	D
3867	19.083333333	no	no	14	11180	2	no	SD
3872	21.166666667	no	yes	18	15205	2	no	SD
3876	17.333333333	no	no	14	6577	3	no	D
3877	18.666666667	no	no	14	537	3	no	D
3879	19.5	no	no	12	10399	2	no	SD
3889	18.416666667	no	no	14	17500	1	no	SD
3891	15.75	no	no	12	15000	1	no	SD
3893	15.666666667	no	no	12	16330	4	no	D
3896	19.666666667	no	yes	15	16330	3	no	SD
3897	17.916666667	no	yes	15	17963	3	no	SD
3899	16.666666667	yes	yes	15	8165	6	no	SD
3900	14.75	yes	yes	15	8165	6	no	SD
3903	19.25	no	no	16	12500	1	no	SD
3906	17	no	yes	12	7354	1	no	D
3908	19.666666667	no	no	12	1300	2	no	D
3911	17.833333333	no	yes	12	13279	2	no	D
3912	20.416666667	no	yes	12	537	2	no	D
3913	17.583333333	no	no	12	17500	1	no	D
3914	17.333333333	yes	yes	12	6894	5	yes	D
3915	14.666666667	yes	yes	12	6894	5	yes	D
3918	15.833333333	no	yes	16	7354	1	no	SD
3919	15.25	yes	yes	16	14145	3	yes	SD
3921	15.333333333	no	no	14	4902	6	no	D
3922	19.083333333	no	yes	16	17351	3	no	SD
3923	16.75	no	yes	12	17759	3	no	D
3924	14.666666667	no	yes	16	17759	3	no	SD
3927	19.666666667	no	yes	12	6004	4	yes	SD
3928	19.166666667	yes	yes	10	10399	3	yes	SA
3929	21.083333333	no	yes	12	11180	4	yes	D
3962	20.25	no	no	8	16000	4	yes	D
3964	20.5	no	yes	11	11000	2	no	D
3969	15.083333333	no	yes	14	7354	1	no	SD
3970	21.083333333	yes	no	12	14142	1	no	D
3972	18.916666667	no	yes	16	36000	2	yes	D
3982	20.25	no	yes	12	6577	4	no	SD
3983	17.666666667	yes	yes	11	8500	5	yes	D
3986	21.5	no	no	10	8491	3	yes	D
3991	17.333333333	no	yes	12	7794	4	yes	D
3992	21.916666667	no	yes	7	9250	3	yes	D
3993	20.75	no	no	12	7354	5	yes	D
3998	20.333333333	no	yes	11	1039	3	yes	A
4001	16.666666667	no	no	12	8050	2	no	SD
4002	15.583333333	no	no	17	8050	2	no	SA
4003	19.333333333	no	yes	12	4619	5	no	A
4012	16.083333333	yes	yes	12	11547	3	yes	SD
4019	17.333333333	yes	yes	16	5000	2	yes	SD
4023	14.25	no	no	8	3464	2	yes	D
4024	21.583333333	yes	no	4	4562	11	yes	SD
4026	16.333333333	no	no	12	8083	5	no	SD
4027	19	no	yes	14	8491	3	yes	A
4028	15.083333333	no	yes	12	3674	2	no	D
4030	19.416666667	no	no	9	13500	2	no	D
4033	19.916666667	no	yes	12	4950	5	yes	D
4034	18.5	no	no	12	4950	5	yes	D
4035	17.5	no	yes	12	4950	5	yes	SD
4037	15	no	no	12	6771	2	yes	D
4038	15	no	yes	9	10286	2	yes	D
4039	20.666666667	no	no	17	7354	3	yes	A
4040	17.083333333	no	no	18	7354	3	yes	A
4041	21.833333333	no	yes	13	7217	3	yes	SD
4045	17.166666667	no	yes	9	5427	4	no	SD
4049	18.416666667	no	yes	12	6264	5	no	A
4050	17	no	yes	9	8944	2	yes	SD
4051	15.75	no	yes	9	8944	2	yes	D
4053	19.583333333	no	yes	14	10733	4	no	SD
4054	18.166666667	no	yes	14	10733	4	no	A
4057	14.583333333	no	no	12	15000	1	no	D
4060	20.666666667	no	no	16	9192	5	no	SD
4065	15.416666667	no	yes	12	15877	0	yes	D
4066	21.583333333	no	no	14	13435	2	no	SA
4074	15.333333333	no	yes	16	11180	4	yes	SD
4075	18.5	no	yes	10	14707	2	no	D
4077	17.083333333	yes	yes	12	4330	4	yes	D
4078	14.416666667	no	no	4	2547	3	yes	A
4079	17.5	no	no	12	2547	3	yes	SD
4080	16.833333333	no	yes	9	8491	2	yes	SD
4083	14.333333333	no	no	10	5543	6	yes	SD
4084	21.25	no	no	12	10399	1	yes	D
4085	15.666666667	no	yes	10	9238	1	no	SD
4089	19.083333333	no	yes	9	10681	2	yes	D
4092	17.833333333	no	no	12	21466	3	no	D
4093	16.416666667	no	yes	12	21466	3	no	SD
4094	16.666666667	no	no	13	14311	2	yes	SD
4095	15.083333333	no	no	13	14311	2	yes	D
4096	20	no	no	11	6750	4	yes	D
4097	17	no	yes	12	12522	2	yes	SD
4099	14.583333333	no	yes	12	12522	2	yes	D
4100	18.416666667	no	no	10	11258	0	yes	D
4103	20.416666667	no	yes	10	11339	5	no	SD
4105	20.416666667	no	yes	10	11339	5	no	D
4107	17.166666667	no	yes	16	21362	1	no	SD
4108	17.583333333	no	yes	14	8165	3	no	A
4109	15.083333333	no	yes	14	8165	3	no	D
4110	17.416666667	no	yes	10	15500	2	yes	A
4112	19	yes	yes	12	3130	4	yes	D
4115	14.416666667	yes	no	5	7354	4	yes	D
4116	16.833333333	yes	yes	12	19630	2	yes	D
4120	18.75	no	yes	12	8491	1	yes	A
4121	21.166666667	no	no	4	2770	2	yes	D
4124	17.833333333	no	yes	12	20207	0	no	SD
4125	16.416666667	no	no	12	6004	2	yes	A
4126	20.25	no	no	3	6004	7	no	A
4132	17.166666667	yes	yes	10	6004	9	yes	D
4133	15.833333333	yes	no	10	6004	5	yes	SD
4136	20.416666667	yes	yes	10	5200	6	yes	D
4140	19.25	yes	yes	12	8834	1	yes	SD
4142	17	no	yes	12	7181	4	yes	SD
4145	16	no	no	8	3750	7	yes	D
4147	16.583333333	no	no	12	11150	3	no	A
4148	16.583333333	no	no	14	14500	1	yes	A
4150	16.75	no	no	12	5103	3	yes	SD
4151	20.916666667	no	no	8	7354	0	yes	D
4152	21.166666667	no	yes	12	10399	2	yes	A
4153	15.75	yes	yes	12	3511	4	yes	A
4154	14.583333333	yes	yes	12	3511	4	yes	D
4157	16.666666667	yes	no	14	5000	1	no	D
4160	17.166666667	no	yes	15	14000	1	yes	SD
4162	18.5	no	yes	12	10000	3	yes	A
4163	14.5	no	no	8	10000	3	yes	D
4167	15.416666667	yes	no	8	10399	12	yes	SA
4170	19.583333333	no	no	12	6577	5	no	SD
4177	17.166666667	no	no	7	10104	3	no	A
4182	19.416666667	no	yes	12	10399	5	yes	A
4188	16.25	yes	no	12	8491	0	no	D
4190	17.916666667	no	no	9	10000	4	no	D
4192	14.25	no	yes	16	15652	2	no	D
4218	18	yes	yes	11	7566	0	yes	D
4219	17.583333333	no	yes	7	1500	1	yes	D
4220	16.833333333	yes	yes	9	7071	2	no	A
4222	18.083333333	no	yes	12	10000	4	yes	SD
4223	14.333333333	no	no	12	10000	4	yes	D
4224	21.75	no	no	18	2750	3	yes	D
4227	16.75	no	yes	19	24568	3	no	SD
4228	20.666666667	no	no	12	8660	3	no	D
4231	15	yes	yes	12	7850	1	yes	SD
4232	19.25	yes	yes	12	10960	7	yes	SA
4236	21.5	no	no	14	13530	1	yes	D
4241	18.583333333	no	no	12	8050	5	no	A
4246	18.25	no	no	8	1039	6	yes	D
4249	16	no	no	12	7826	2	yes	SD
4250	16.666666667	no	yes	12	14434	1	yes	D
4251	16.166666667	no	yes	15	14000	3	yes	D
4252	14.833333333	no	yes	16	14000	3	yes	D
4254	16.666666667	yes	yes	13	8697	0	no	SD
4255	21.5	no	no	14	14707	1	no	SD
4256	20.416666667	no	yes	12	5200	4	no	D
4257	21.916666667	no	yes	17	6500	2	no	D
4262	20.916666667	yes	no	12	3578	3	yes	SA
4267	21.333333333	no	no	0	9449	6	yes	SD
4277	19.833333333	yes	no	9	1140	1	yes	D
4280	19.416666667	no	yes	11	6928	1	yes	D
4281	21.25	no	no	12	10607	3	yes	A
4283	15.166666667	no	yes	12	13279	2	yes	SA
4284	16.25	no	no	11	7615	2	yes	D
4286	16.083333333	no	yes	11	5728	5	yes	SD
4287	18.416666667	no	no	14	8491	2	no	D
4290	17.583333333	no	no	12	10000	3	no	D
4292	21.416666667	yes	yes	13	11489	3	yes	SD
4294	19.583333333	no	yes	10	10324	4	yes	D
4295	20.166666667	yes	yes	12	2100	0	yes	D
4296	20.416666667	no	yes	12	14758	4	no	SD
4300	17.333333333	no	yes	10	9238	1	yes	D
4304	17	no	yes	12	22500	2	yes	D
4305	15	no	yes	12	22500	2	yes	D
4306	21.416666667	no	yes	17	40415	1	yes	SD
4308	15.333333333	no	yes	12	15000	1	no	D
4310	16.833333333	yes	no	12	2367	3	no	SD
4325	20.5	yes	yes	12	5159	3	yes	SD
4326	15.666666667	yes	yes	12	5715	4	no	D
4337	19.166666667	no	yes	12	11500	1	no	D
4339	15.75	no	no	10	5367	2	no	D
4345	19.25	no	no	12	8981	3	no	D
4346	21	no	no	12	8491	2	no	D
4351	20.083333333	no	no	17	14707	2	no	A
4352	19.083333333	no	yes	17	5145	2	no	SD
4353	20.916666667	no	no	11	6050	0	no	D
4354	21.75	no	no	17	4800	2	no	D
4356	20.75	no	no	16	8491	3	no	SD
4366	14.833333333	yes	no	9	5715	3	yes	D
4367	17.75	no	yes	9	9899	1	no	D
4368	21.416666667	yes	yes	8	5081	5	no	SD
4371	17.25	no	yes	12	7354	1	no	SD
4372	19.083333333	no	yes	12	10000	2	no	SD
4373	15.166666667	no	no	12	12000	2	yes	A
4376	21.75	no	yes	12	8491	2	no	D
4378	17.833333333	no	yes	12	6004	3	no	D
4379	17.666666667	no	no	8	12500	2	no	SD
4381	20	yes	no	16	408	10	yes	D
4383	20.416666667	no	no	12	13000	9	yes	SD
4386	16.083333333	no	no	7	6708	8	yes	SD
4391	20.916666667	no	no	12	10599	3	no	A
4392	20.833333333	no	no	12	14434	3	yes	SD
